ratio,seed,analysis,variant,cost_rate,avail,n_prev,n_fail,fails_per_1000,false_rate,mean_rem,op,total_cost
2,14,policy_robustness,raw_wear_selected,0.05740994966333268,0.822375141121445,87.0,313.0,20.461528404262275,0.0,13.270166414381,15297.0,878.2
2,0,policy_robustness,wear_torque_selected,0.05778445068215941,0.8208219471681938,82.0,318.0,20.758535152425093,0.04878048780487805,17.000351574782947,15319.0,885.2
2,1,policy_robustness,wear_torque_selected,0.06153216454055529,0.8099342505110779,70.0,330.0,22.511767514837302,0.05714285714285714,17.312950625836333,14659.0,902.0
2,2,policy_robustness,wear_torque_selected,0.06154163515093172,0.8105110628100095,75.0,325.0,22.34752114419308,0.04,15.010291943113616,14543.0,895.0
2,3,policy_robustness,wear_torque_selected,0.0650685900155565,0.7996155150966866,57.0,343.0,24.253995191627777,0.05263157894736842,17.398613476960826,14142.0,920.2
2,4,policy_robustness,wear_torque_selected,0.06700909891400059,0.7954704646275975,62.0,338.0,24.80187848547109,0.03225806451612903,15.687734136488968,13628.0,913.2
2,5,policy_robustness,wear_torque_selected,0.06169208672457424,0.8095343557942528,70.0,330.0,22.570275630941797,0.11428571428571428,17.736669786535902,14621.0,902.0
2,6,policy_robustness,wear_torque_selected,0.060871934604904636,0.8123063302346171,76.0,324.0,22.070844686648503,0.05263157894736842,16.089527007008268,14680.0,893.6
2,7,policy_robustness,wear_torque_selected,0.06078924132309991,0.8123930916514925,75.0,325.0,22.074305508388235,0.04,15.952844138823796,14723.0,895.0
2,8,policy_robustness,wear_torque_selected,0.0630452903584329,0.8056861428251623,66.0,334.0,23.200889135871076,0.07575757575757576,16.144414945810816,14396.0,907.6
2,9,policy_robustness,wear_torque_selected,0.057003764766973906,0.8234099412079102,87.0,313.0,20.316759704011425,0.06896551724137931,15.148012827822996,15406.0,878.2
2,10,policy_robustness,wear_torque_selected,0.05730505709624796,0.8226421171292071,87.0,313.0,20.424143556280587,0.034482758620689655,15.559040185505388,15325.0,878.2
2,11,policy_robustness,wear_torque_selected,0.06138302955833163,0.8105461185193382,72.0,328.0,22.39060686736296,0.013888888888888888,16.068647520673192,14649.0,899.2
2,12,policy_robustness,wear_torque_selected,0.06302910982984108,0.8066931366988088,74.0,326.0,22.922233159893125,0.013513513513513514,17.64911088284363,14222.0,896.4
2,13,policy_robustness,wear_torque_selected,0.06318780318780319,0.8049760124958162,63.0,337.0,23.354123354123352,0.031746031746031744,16.058222929377038,14430.0,911.8
2,14,policy_robustness,wear_torque_selected,0.0582670906200318,0.8200782268578879,86.0,314.0,20.800211976682565,0.05813953488372093,16.956832045638258,15096.0,879.6
2,0,policy_robustness,periodic_fine_selected,0.057551690187069245,0.8221358804165992,88.0,312.0,20.479159829340336,0.0,17.011532293714563,15235.0,876.8
2,1,policy_robustness,periodic_fine_selected,0.06095970343928057,0.812573213588442,80.0,320.0,21.967460698839844,0.0125,16.561733517153737,14567.0,888.0
2,2,policy_robustness,periodic_fine_selected,0.06152888273953649,0.8110306906805813,79.0,321.0,22.20684884123141,0.0,15.622115378597226,14455.0,889.4
2,3,policy_robustness,periodic_fine_selected,0.06478433598183882,0.8009090909090909,62.0,338.0,23.978433598183884,0.016129032258064516,16.598953115366818,14096.0,913.2
2,4,policy_robustness,periodic_fine_selected,0.06654862033348088,0.797575614922914,70.0,330.0,24.34705621956618,0.0,16.240744540136756,13554.0,902.0
2,5,policy_robustness,periodic_fine_selected,0.06053839304061922,0.8139949818790075,83.0,317.0,21.713816014795533,0.0,16.170132846801003,14599.0,883.8
2,6,policy_robustness,periodic_fine_selected,0.060876122574895455,0.8127820805705689,80.0,320.0,21.937341468430795,0.05,16.46679059961922,14587.0,888.0
2,7,policy_robustness,periodic_fine_selected,0.0605337175001715,0.8141301312482547,84.0,316.0,21.677985868148454,0.0,16.144596015279507,14577.0,882.4
2,8,policy_robustness,periodic_fine_selected,0.062186995861681985,0.8096427962973479,81.0,319.0,22.374973697131235,0.0,16.331205286004103,14257.0,886.6
2,9,policy_robustness,periodic_fine_selected,0.05724833542092425,0.8236412010642341,94.0,306.0,20.172720680334894,0.0425531914893617,16.792045114156664,15169.0,868.4
2,10,policy_robustness,periodic_fine_selected,0.057133503568388665,0.8235643030466433,91.0,309.0,20.231781575329013,0.0,15.225048655051868,15273.0,872.6
2,11,policy_robustness,periodic_fine_selected,0.06108448582774203,0.8118954974986103,77.0,323.0,22.114199643981927,0.012987012987012988,16.075859310170728,14606.0,892.2
2,12,policy_robustness,periodic_fine_selected,0.06297938216874252,0.8069388450400318,75.0,325.0,22.869608050102034,0.013333333333333334,17.11528069434279,14211.0,895.0
2,13,policy_robustness,periodic_fine_selected,0.06296581136824443,0.8064843529743445,71.0,329.0,23.002167377473256,0.014084507042253521,16.581328541390782,14303.0,900.6
2,14,policy_robustness,periodic_fine_selected,0.05781762226533753,0.8225744317869133,97.0,303.0,20.271626413327088,0.020618556701030927,16.66174279018922,14947.0,864.2
2,0,policy_robustness,oracle_wear_final,0.05416795785559343,0.8310584599536441,90.0,310.0,19.21289123024481,0.0,7.641693907722274,16135.0,874.0
2,1,policy_robustness,oracle_wear_final,0.058085937500000004,0.8194622279129321,77.0,323.0,21.028645833333332,0.0,7.637187388365513,15360.0,892.2
2,2,policy_robustness,oracle_wear_final,0.058359580052493434,0.8190025795356836,79.0,321.0,21.062992125984252,0.0,6.204618347869049,15240.0,889.4
2,3,policy_robustness,oracle_wear_final,0.06236383442265795,0.8066783831282952,60.0,340.0,23.14814814814815,0.0,6.96815316175378,14688.0,916.0
2,4,policy_robustness,oracle_wear_final,0.06421489346740736,0.8023131170662906,62.0,338.0,23.767667533928698,0.0,6.792222120893054,14221.0,913.2
2,5,policy_robustness,oracle_wear_final,0.05824913630141451,0.8189291624406129,76.0,324.0,21.119874845186104,0.0,7.37678035706756,15341.0,893.6
2,6,policy_robustness,oracle_wear_final,0.05793192868719611,0.8197374714354042,76.0,324.0,21.00486223662885,0.013157894736842105,6.768482018309968,15425.0,893.6
2,7,policy_robustness,oracle_wear_final,0.056853381517811045,0.8235544217687075,85.0,315.0,20.327826535880227,0.011764705882352941,5.912573548365559,15496.0,881.0
2,8,policy_robustness,oracle_wear_final,0.05929179978700745,0.8165217391304348,78.0,322.0,21.43237486687966,0.0,6.948318028106046,15024.0,890.8
