ratio,seed,analysis,variant,cost_rate,avail,n_prev,n_fail,fails_per_1000,false_rate,false_n,mean_rem,op,total_cost
5,4,gate_control,shap_gate,0.1427690500660696,0.7939153747523021,58.0,342.0,25.106445455880195,0.034482758620689655,2.0,17.405792404042224,13622.0,1944.8
5,4,gate_control,strict_rul_gate,0.14068287037037036,0.7963133640552995,58.0,342.0,24.739583333333332,0.0,0.0,12.189003796659566,13824.0,1944.8
5,4,gate_control,oracle_false30_gate,0.1414083225953157,0.7954778414229726,76.0,324.0,24.558477980747366,0.0,0.0,20.999564077019183,13193.0,1865.6
5,4,gate_control,random_action_matched,0.14501528595928714,0.7913495013866761,58.0,342.0,25.501454030273656,0.06896551724137931,4.0,21.090817158390866,13411.0,1944.8
5,5,gate_control,rul_base,0.1262027552101731,0.8133655116933862,94.0,306.0,21.617802896503,0.06382978723404255,6.0,20.64310666964639,14155.0,1786.4
5,5,gate_control,shap_gate,0.12902255639097743,0.8099878197320342,71.0,329.0,22.48803827751196,0.014084507042253521,1.0,17.036645692271815,14630.0,1887.6
5,5,gate_control,strict_rul_gate,0.12693440428380187,0.812486404176637,69.0,331.0,22.15528781793842,0.0,0.0,12.437252461167903,14940.0,1896.4
5,5,gate_control,oracle_false30_gate,0.12604247512876596,0.8135583491188795,94.0,306.0,21.59034784449305,0.0,0.0,20.446745544710463,14173.0,1786.4
5,5,gate_control,random_action_matched,0.13077456006650962,0.8079032799731334,71.0,329.0,22.793404461687683,0.056338028169014086,4.0,21.037883442309504,14434.0,1887.6
5,6,gate_control,rul_base,0.1254406291692999,0.8142832637657956,94.0,306.0,21.487255108489574,0.10638297872340426,10.0,20.503561285168598,14241.0,1786.4
5,6,gate_control,shap_gate,0.1279642058165548,0.8112522686025408,71.0,329.0,22.30357263914311,0.028169014084507043,2.0,16.568926891252033,14751.0,1887.6
5,6,gate_control,strict_rul_gate,0.12724728460051976,0.8121110449699659,66.0,334.0,22.256280402478843,0.0,0.0,11.450584504930628,15007.0,1909.6
5,6,gate_control,oracle_false30_gate,0.125890603085554,0.8137411549874458,92.0,308.0,21.598877980364655,0.0,0.0,20.068723299677057,14260.0,1795.2
5,6,gate_control,random_action_matched,0.1296339537119703,0.8092591563385761,71.0,329.0,22.594602019092097,0.11267605633802817,8.0,20.670816914689834,14561.0,1887.6
5,7,gate_control,rul_base,0.1251450403282864,0.8146397694524495,98.0,302.0,21.36691665487477,0.07142857142857142,7.0,20.240444476811174,14134.0,1768.8
5,7,gate_control,shap_gate,0.12418024405208261,0.8158055725488015,86.0,314.0,21.4056854591315,0.03488372093023256,3.0,15.417051392494166,14669.0,1821.6
5,7,gate_control,strict_rul_gate,0.12584058941728063,0.8138013735964242,73.0,327.0,21.90221031480241,0.0,0.0,12.097408912348184,14930.0,1878.8
5,7,gate_control,oracle_false30_gate,0.12495055100310822,0.8148745107068847,98.0,302.0,21.333710087595367,0.0,0.0,20.024630910501916,14156.0,1768.8
5,7,gate_control,random_action_matched,0.12716230366492146,0.8122129613879912,86.0,314.0,21.919720767888307,0.08139534883720931,7.0,20.140205969585747,14325.0,1821.6
5,8,gate_control,rul_base,0.13067740543650222,0.8080185938407902,87.0,313.0,22.50826981159212,0.10344827586206896,9.0,20.452421171782053,13906.0,1817.2
5,8,gate_control,shap_gate,0.1340413638904416,0.8040449438202247,64.0,336.0,23.476802683063163,0.046875,3.0,18.274095329652194,14312.0,1918.4
5,8,gate_control,strict_rul_gate,0.13038372251809366,0.8083673694668285,66.0,334.0,22.804861395602895,0.0,0.0,12.126491518895936,14646.0,1909.6
5,8,gate_control,oracle_false30_gate,0.13048036188698212,0.8082525680459637,87.0,313.0,22.474330437280102,0.0,0.0,20.204900826556305,13927.0,1817.2
5,8,gate_control,random_action_matched,0.13478535797091268,0.803171378590373,64.0,336.0,23.607110236773696,0.09375,6.0,20.555422821432266,14233.0,1918.4
5,9,gate_control,rul_base,0.11772074341343863,0.8236976392082095,107.0,293.0,19.94689904009803,0.14953271028037382,16.0,21.68623393138488,14689.0,1729.2
5,9,gate_control,shap_gate,0.12002354942107672,0.8208666702464694,83.0,317.0,20.736573559233335,0.07228915662650602,6.0,17.5149615732947,15287.0,1834.8
5,9,gate_control,strict_rul_gate,0.11755940912010276,0.8238967086464176,84.0,316.0,20.29543994861914,0.0,0.0,12.380200922673426,15570.0,1830.4
5,9,gate_control,oracle_false30_gate,0.11833740831295844,0.8229376257545271,104.0,296.0,20.103232817169246,0.0,0.0,21.074215657201307,14724.0,1742.4
5,9,gate_control,random_action_matched,0.12169529747297207,0.8188236571987183,83.0,317.0,21.025402931617695,0.1566265060240964,13.0,21.481527579370013,15077.0,1834.8
5,10,gate_control,rul_base,0.11755952380952381,0.8238965670976371,105.0,295.0,19.95400432900433,0.08571428571428572,9.0,20.12426897200513,14784.0,1738.0
5,10,gate_control,shap_gate,0.1178520348459238,0.8235357104615055,88.0,312.0,20.283448186191652,0.022727272727272728,2.0,14.830179640819773,15382.0,1812.8
5,10,gate_control,strict_rul_gate,0.11711240186379013,0.8244487712466453,83.0,317.0,20.23361205080743,0.0,0.0,10.82483258706749,15667.0,1834.8
5,10,gate_control,oracle_false30_gate,0.11793140696732379,0.8234378474538582,103.0,297.0,20.051309748852283,0.0,0.0,19.67700493896376,14812.0,1746.8
5,10,gate_control,random_action_matched,0.120387833709656,0.8204206167592896,88.0,312.0,20.71988311860805,0.07954545454545454,7.0,20.042867108621422,15058.0,1812.8
5,11,gate_control,rul_base,0.12788906009244994,0.8113421979770429,85.0,315.0,22.061913433253956,0.011764705882352941,1.0,19.617954082984813,14278.0,1826.0
5,11,gate_control,shap_gate,0.12991359956459622,0.8089263111551374,66.0,334.0,22.722634192802232,0.015151515151515152,1.0,16.440827008122334,14699.0,1909.6
5,11,gate_control,strict_rul_gate,0.12735760971055088,0.8119787717968158,66.0,334.0,22.275576897425637,0.0,0.0,11.178635893498358,14994.0,1909.6
5,11,gate_control,oracle_false30_gate,0.12787114845938374,0.8113636363636364,85.0,315.0,22.058823529411764,0.0,0.0,19.595334051435824,14280.0,1826.0
5,11,gate_control,random_action_matched,0.1311448389533686,0.8074640936061664,66.0,334.0,22.93798502850079,0.0,0.0,19.399619257253107,14561.0,1909.6
5,12,gate_control,rul_base,0.13051656779047896,0.8082095661326161,90.0,310.0,22.428013312111126,0.16666666666666666,15.0,21.202240167089073,13822.0,1804.0
5,12,gate_control,shap_gate,0.13354879505374834,0.804624342811917,68.0,332.0,23.326073210145438,0.11764705882352941,8.0,17.999055274199577,14233.0,1900.8
5,12,gate_control,strict_rul_gate,0.130950580795931,0.8076944429023483,67.0,333.0,22.88817100831672,0.0,0.0,12.91392305748038,14549.0,1905.2
5,12,gate_control,oracle_false30_gate,0.13049502092654064,0.8082351568879039,89.0,311.0,22.441910809640643,0.0,0.0,20.68266447401823,13858.0,1808.4
5,12,gate_control,random_action_matched,0.1336520883138799,0.8045027718067654,68.0,332.0,23.344114751792997,0.11764705882352941,8.0,20.15551413314876,14222.0,1900.8
5,13,gate_control,rul_base,0.1289584673672171,0.8100642770282008,90.0,310.0,22.16026878261491,0.15555555555555556,14.0,21.092904090109926,13989.0,1804.0
5,13,gate_control,shap_gate,0.1330473290893994,0.805215065745487,63.0,337.0,23.318571823969002,0.07936507936507936,5.0,17.18856886560555,14452.0,1922.8
5,13,gate_control,strict_rul_gate,0.13267987203049486,0.8056484782012613,57.0,343.0,23.347627799332926,0.0,0.0,11.815113493247107,14691.0,1949.2
5,13,gate_control,oracle_false30_gate,0.1288768529076397,0.810161662817552,89.0,311.0,22.1636259977195,0.0,0.0,20.491733824094947,14032.0,1808.4
5,13,gate_control,random_action_matched,0.13448034690166458,0.8035292795324267,63.0,337.0,23.56973003217233,0.1111111111111111,7.0,20.326679899987703,14298.0,1922.8
