ratio,pool_seed,model_seed,policy,param,cost_rate,avail,n_prev,n_fail,fails_per_1000,wear_fails,false30_rate,mean_rem_at_prev,op
2,1,1,reactive,,0.06477942605428516,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
2,1,1,periodic,60,0.06270825688073395,0.8113499672482583,104.0,296.0,21.724770642201836,0.0,0.3076923076923077,26.4867691774035,13625.0
2,1,1,risk,0.8,0.06496480031581026,0.7946358550739792,9.0,391.0,25.725376669517733,74.0,1.0,59.44994582799989,15199.0
2,1,1,rul,8,0.060623494781910627,0.8118618292417988,67.0,333.0,22.277227722772277,16.0,0.0,11.543886125702539,14948.0
2,1,1,risk_gated,0.8,0.06477942605428516,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
2,1,1,rul_gated,8,0.062130061027626485,0.8048059149722736,38.0,362.0,23.75483955640134,41.0,0.0,8.315487097754218,15239.0
5,1,1,reactive,,0.14251473731942735,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
5,1,1,periodic,60,0.12788256880733945,0.8113499672482583,104.0,296.0,21.724770642201836,0.0,0.3076923076923077,26.4867691774035,13625.0
5,1,1,risk,0.5,0.14098065053054998,0.7959701904499034,38.0,362.0,25.10576322907275,61.0,0.7894736842105263,54.67833337269681,14419.0
5,1,1,rul,16,0.12731231125781303,0.8120330767037354,88.0,312.0,21.911651099094037,3.0,0.09090909090909091,20.57154128469492,14239.0
5,1,1,risk_gated,0.5,0.14041631098561955,0.7966208087042946,14.0,386.0,25.34637861973866,70.0,0.5714285714285714,39.39744914646992,15229.0
5,1,1,rul_gated,16,0.12903487978327124,0.8099731197542378,67.0,333.0,22.553335590924483,18.0,0.014925373134328358,15.879280567192493,14765.0
10,1,1,reactive,,0.27207358942799764,0.7942069249369759,0.0,400.0,25.911770421714063,77.0,0.0,0.0,15437.0
10,1,1,periodic,40,0.23699082568807336,0.8059745637385389,172.0,228.0,20.91743119266055,0.0,1.0,46.575500727822124,10900.0
10,1,1,risk,0.5,0.26650946667591374,0.7959701904499034,38.0,362.0,25.10576322907275,61.0,0.7894736842105263,54.67833337269681,14419.0
10,1,1,rul,16,0.23687056675328325,0.8120330767037354,88.0,312.0,21.911651099094037,3.0,0.09090909090909091,20.57154128469492,14239.0
