ratio,seed,variant,cost_rate,avail,n_prev,n_fail,fails_per_1000,false_rate,mean_rem,op,total_cost
10,0,rul_base,0.27633127601550167,0.7714538810762928,242.0,158.0,22.67834074924645,0.045454545454545456,17.921164217741378,6967.0,1925.2
10,1,rul_base,0.3051266766020865,0.7558008560486597,229.0,171.0,25.484351713859912,0.05240174672489083,17.222559117174885,6710.0,2047.4
10,2,rul_base,0.2702878228782288,0.7734901244434296,252.0,148.0,21.8450184501845,0.07539682539682539,17.740555488998748,6775.0,1831.2
10,3,rul_base,0.2745644599303136,0.7703349282296651,254.0,146.0,22.117860930162095,0.07086614173228346,17.557895998644785,6601.0,1812.4
10,4,rul_base,0.2987106017191977,0.7603485838779956,225.0,175.0,25.07163323782235,0.10666666666666667,17.637848418496116,6980.0,2085.0
10,0,shap_gate,0.30735606344448607,0.7606155599886008,185.0,215.0,26.851504933183463,0.032432432432432434,15.007687438753344,8007.0,2461.0
10,1,shap_gate,0.33552749075137134,0.7463581833761782,167.0,233.0,29.72317897691032,0.029940119760479042,14.370487945621484,7839.0,2630.2
10,2,shap_gate,0.3211009174311927,0.7537179122856872,175.0,225.0,28.27698881487998,0.045714285714285714,14.566681939699873,7957.0,2555.0
10,3,shap_gate,0.3345500633713561,0.7470176103010794,166.0,234.0,29.657794676806084,0.04216867469879518,15.5735176651425,7890.0,2639.6
10,4,shap_gate,0.3479213907785337,0.7408997573268621,153.0,247.0,31.116150163769213,0.06535947712418301,16.14612532892597,7938.0,2761.8
10,0,strict_rul_selected,0.27913066247708823,0.7732334480664103,220.0,180.0,23.566378633150038,0.004545454545454545,14.78209078035968,7638.0,2132.0
10,1,strict_rul_selected,0.28949809056192033,0.766624843161857,221.0,179.0,24.41352973267867,0.0,14.371276756973705,7332.0,2122.6
10,2,strict_rul_selected,0.2724415793714746,0.775786622212961,231.0,169.0,22.69674993284985,0.004329004329004329,14.936140363399488,7446.0,2028.6
